week,total_orders,total_return_proxy,avg_delivery_delay,return_rate
2016-10-03,283.0,85.0,-36.53389830508475,0.3003533568904594
2017-01-16,197.0,25.0,-28.798941798941797,0.12690355329949238
2017-01-23,354.0,61.0,-27.072289156626507,0.17231638418079095
2017-01-30,467.0,71.0,-23.930555555555557,0.15203426124197003
2017-02-06,548.0,70.0,-20.64187866927593,0.12773722627737227
2017-02-13,411.0,82.0,-20.269129287598943,0.19951338199513383
2017-02-20,379.0,68.0,-15.0945558739255,0.17941952506596306
2017-02-27,497.0,72.0,-11.928416485900216,0.1448692152917505
2017-03-06,582.0,91.0,-11.52919708029197,0.1563573883161512
2017-03-13,615.0,80.0,-11.074450084602368,0.13008130081300814
2017-03-20,654.0,98.0,-13.288461538461538,0.14984709480122324
2017-03-27,565.0,73.0,-14.346153846153847,0.12920353982300886
2017-04-03,586.0,86.0,-14.50266429840142,0.14675767918088736
2017-04-10,443.0,75.0,-13.719714964370546,0.16930022573363432
2017-04-17,571.0,104.0,-10.245871559633027,0.18213660245183888
2017-04-24,671.0,98.0,-12.804347826086957,0.14605067064083457
2017-05-01,788.0,116.0,-13.938666666666666,0.14720812182741116
2017-05-08,794.0,104.0,-11.339973439575033,0.1309823677581864
2017-05-15,940.0,118.0,-13.591703056768559,0.125531914893617
2017-05-22,784.0,84.0,-14.906455862977602,0.10714285714285714
2017-05-29,836.0,112.0,-13.7825,0.1339712918660287
2017-06-05,847.0,115.0,-13.377149877149877,0.1357733175914994
2017-06-12,753.0,99.0,-12.068870523415978,0.13147410358565736
2017-06-19,661.0,82.0,-12.124409448818898,0.12405446293494705
2017-06-26,730.0,93.0,-12.222379603399434,0.1273972602739726
2017-07-03,841.0,97.0,-12.547858942065492,0.11533888228299644
2017-07-10,959.0,114.0,-11.908207343412528,0.11887382690302398
2017-07-17,963.0,122.0,-12.56136606189968,0.12668743509865005
2017-07-24,927.0,114.0,-12.781634938409855,0.12297734627831715
2017-07-31,984.0,122.0,-13.069182389937106,0.12398373983739837
2017-08-07,939.0,103.0,-13.003293084522502,0.10969116080937168
